CO,JUR,CNTYNAME,DATE,PLACE,M/R,LTR,BALQUEST,TYPECODE,TYPENAME,TOPCODE,TOPNAME,YES,NO,TOTAL,PERCENT,REQ,PASSFAIL
21,2,MARIN,1995-06-06,CORTE MADERA,Measure,H,"Shall the voters of the Town of Corte Madera adopt an Ordinance (1) imposing and continuing a special tax for paramedic and/or emergency medical services of not to exceed (a) thirty dollars ($30.00) per year for each living unit and (b) thirty dollars ($30.00) per year per 1,500 square feet of structure on each developed parcel in non-residential use for each of the next four (4) years, commencing with the fiscal year 1995-1996 and (2) increasing the Town's appropriations limit by an amount equal to the proceeds of said tax for each of the next four (4) years, commencing with the fiscal year 1995-1996?",3.0,Property Tax,30.0,Safety,979,183,1162,0.842512908777969,T,Pass
21,2,MARIN,1995-06-06,SAN ANSELMO,Measure,G,"GENERAL OBLIGATION BONDS.  For the purpose of the acquisition, construction and completion of (i) seismic and other capital improvements to the Town Library and (ii) capital improvements to various street and storm drains throughout the Town of San Anselmo, shall the Town of San Anselmo be authorized to issue general obligation bonds in the principal amount of ten million eight hundred thousand dollars ($10,800,000) as more particularly described in Ordinance No. 964?",11.0,GO Bond,70.0,Facilities,2239,1060,3299,0.6786905122764474,T,Pass
21,2,MARIN,1995-06-06,TIBURON,Measure,J,LOCATIONS FOR NEW TOWN ADMINISTRATIVE AND POLICE BUILDINGS.  Shall the Town of Tiburon enact an ordinance specifying that a new Town administration facility be built adjacent to the proposed new library in downtown Tiburon and that a new Town police facility be built at Ned's Way?,70.0,Ordinance,70.0,Facilities,1510,726,2236,0.6753130590339893,M,Pass
21,2,MARIN,1995-06-06,TIBURON,Measure,K,DISPOSITION AND REGULATION FOR FUTURE USE OF CURRENT TOWN HALL SITE.  Shall the Town of Tiburon enact an ordinance requiring the sale of a portion of the existing Town Hall property at Ned's Way for use as a senior housing project with the proceeds of the sale being used for the construction of new Town administration and police facilities?,70.0,Ordinance,70.0,Facilities,1455,763,2218,0.6559963931469792,M,Pass
21,2,MARIN,1995-06-06,TIBURON,Measure,L,"SPECIFICATIONS FOR REBUILDING, CONSTRUCTING AND FUNDING FOR NEW TOWN HALL FACILITIES AT NED'S WAY.  Shall the Town of Tiburon enact an ordinance specifying that the existing Town administration building be rebuilt and a new community meeting facility be constructed using existing funds and that a new police facility be constructed using existing funds and future accrued savings, all at Ned's Way?",70.0,Ordinance,70.0,Facilities,654,1371,2025,0.32296296296296295,M,Fail
21,2,MARIN,1995-11-07,NOVATO,Measure,B,Shall the ordinance establishing certain land use regulation which will allow the development of the Buck Center for Research in Aging project to be adopted?,70.0,Ordinance,24.0,Land Use: Private Projects,6527,5163,11690,0.5583404619332764,M,Pass
21,2,MARIN,1995-11-07,SAUSALITO,Measure,C,"SPECIAL TAX AND APPROPRIATIONS LIMIT INCREASE.  To retain the approximately 17.5 acre Martin Luther King Jr. School Site as public open space and for long term recreational, educational, artistic and cottage industry uses, shall the voters of the City of Sausalito adopt an ordinance (1) implementing a special tax to supplement the funding shortfall of the existing lease/purchase agreement between the City of Sausalito and the Sausalito School District in the amount of ninety-five dollars ($95.00) per year per tax assessor's parcel located in the City of Sausalito for a period of 13 years commencing with the fiscal year 1996-1997 and (2) increase the City's appropriations limit by an amount equal to the proceeds of said tax for each of the next 13 years, commencing with the fiscal year 1996-1997?",3.0,Property Tax,70.0,Facilities,734,1289,2023,0.3628274839347504,T,Fail
27,2,MONTEREY,1995-06-06,MONTEREY,Measure,F,Shall the City of Monterey Charter be amended by creating a new Section 6.7 that would define the use of a 1% increase in the Transient Occupancy Tax for promotion of the visitor and tourism industry?,20.0,Charter Amendment,100.0,Other,1521,1907,3428,0.4436989498249708,M,Fail
27,2,MONTEREY,1995-06-06,SALINAS,Measure,C,"Shall the Salinas Charter be amended to change the date of municipal elections from June of odd-numbered years to November of even-numbered years and to permit the one time extension of terms of offices for Mayor from June, 1995 to November, 1998; from June, 1995 to November, 2000, for Council members of Districts 1, 4, & 6; and from June, 1993 to November, 1998, for Council members of Districts 2, 3, & 5?",20.0,Charter Amendment,42.0,Governance: Personnel/Offices,6884,4125,11009,0.6253065673539832,M,Pass
27,2,MONTEREY,1995-06-06,SALINAS,Measure,D,"Shall the Salinas Charter be amended to provide that the minimum amount required for sealed bids for public work not paid for by assessment be increased to $25,000, to be increased by $5,000 on July 1, 1996, and every year thereafter to a maximum of $50,000?",20.0,Charter Amendment,43.0,Governance: Organization,5730,5044,10774,0.5318359012437349,M,Pass
27,2,MONTEREY,1995-06-06,SALINAS,Measure,E,"Shall the Salinas Charter be amended to allow a summary of each ordinance, prepared by the City Attorney and approved by the City Council, to be published once in a newspaper published and circulated in Salinas?",20.0,Charter Amendment,43.0,Governance: Organization,8492,2420,10912,0.7782258064516129,M,Pass
28,2,NAPA,1995-11-07,ST. HELENA,Measure,A,"VOLUNTEER FIRE/RESCUE STATION BONDS MEASURE.  Shall the city of St. Helena be authorized to issue general obligation bonds in the principal amount of $2,175,000.00 for the construction of a volunteer fire/rescue station, all as more particularly described in Ordinance No. 95-18?",11.0,GO Bond,33.0,Safety: Fire,1172,222,1394,0.8407460545193687,T,Pass
28,2,NAPA,1995-06-06,YOUNTVILLE,Measure,A,"Shall the Appropriations Limit set pursuant to Article 13(b) of the California Constitution be raised by the sum of $300,000.00 so that the Town of Yountville can expend up to $300,000.00 in additional funds each year for a four-year period commencing with the Fiscal Year 1995/96?  The additional funds to be expended are funds collected through taxes presently in effect and no present tax rates are to be increased as a result of this Measure.",60.0,Gann Limit,100.0,Other,792,95,887,0.8928974069898534,T,Pass
33,2,RIVERSIDE,1995-11-07,COACHELLA,Measure,K,"Shall card clubs in which any games permitted by law, such as draw poker, low-ball poker, and panguingue (pan) are played be allowed in the City of Coachella only in the entertainment zone located in the area around Dillon Road between the I-10 Freeway and Harrison Street?",70.0,Ordinance,90.0,Gambling,487,306,793,0.6141235813366961,M,Pass
33,2,RIVERSIDE,1995-11-07,NORCO,Measure,Q,Shall Ordinance No. 703 Adding Chapter 3.50 of the City of Norco Municipal Code Imposing Police and Fire Protection Special Tax be adopted?,70.0,Ordinance,34.0,Safety: Police and Fire,510,1751,2261,0.22556390977443608,T,Fail
33,2,RIVERSIDE,1995-11-07,PALM SPRINGS,Measure,L,"Shall the Ordinance adopting an amendment to the General Plan for the City of Palm Springs to allow legal gaming in the City of Palm Springs, adopting an amendment to Palm Springs Zoning Ordinance to establish a gaming overlay zone, and authorizing the establishment of gaming clubs within the City and specifying criteria therefore, be adopted?",70.0,Ordinance,90.0,Gambling,6091,3787,9878,0.6166227981372747,M,Pass
33,2,RIVERSIDE,1995-11-07,PALM SPRINGS,Measure,M,"Shall the Airport Master Plan and its component parts and related General Plan Text amendments, as approved by the City Council on May 17, 1995, be adopted?",70.0,Ordinance,22.0,Land Use: Zoning,6929,2880,9809,0.7063920888979509,M,Pass
33,2,RIVERSIDE,1995-11-07,PERRIS,Measure,D,Shall the electors elect a mayor and four councilmen?,70.0,Ordinance,42.0,Governance: Personnel/Offices,1832,415,2247,0.8153093012906097,M,Pass
33,2,RIVERSIDE,1995-11-07,PERRIS,Measure,E,Shall the term of office of mayor be two years?,70.0,Ordinance,42.0,Governance: Personnel/Offices,1596,582,2178,0.7327823691460055,M,Pass
33,2,RIVERSIDE,1995-11-07,PERRIS,Measure,F,Shall the term of office of mayor be four years?,70.0,Ordinance,42.0,Governance: Personnel/Offices,659,1391,2050,0.32146341463414635,M,Fail
33,2,RIVERSIDE,1995-12-12,PERRIS,Measure,R,"Shall gaming clubs be allowed in the City of Perris in which any games that are permitted by law, such as draw poker, low ball poker and panguingue (pan) poker, are played?",70.0,Ordinance,90.0,Gambling,859,987,1846,0.46533044420368364,M,Fail
33,2,RIVERSIDE,1995-12-12,PERRIS,Measure,S,ADVISORY VOTE ONLY.  Shall a minimum security Community Correctional Facility be allowed in the City of Perris to house non-violent offenders?,30.0,Advisory,31.0,Safety Jails,675,1170,1845,0.36585365853658536,A,Fail
33,2,RIVERSIDE,1995-11-07,RIVERSIDE,Measure,O,CITY CHARTER MEASURE.  Shall the proposed amendments to the Charter of the City of Riverside be approved?,20.0,Charter Amendment,40.0,Governance,10851,4825,15676,0.6922046440418474,M,Pass
33,2,RIVERSIDE,1995-11-07,"RIVERSIDE, INSIDE CITY LIMITS",Measure,P,CITY CHARTER MEASURE PERTAINING TO RIVERSIDE UNIFIED SCHOOL DISTRICT.  Shall the proposed deletion of Sections 1406 and 1407 of the Charter of the City of Riverside pertaining to the Riverside Unified School District be approved?,20.0,Charter Amendment,10.0,Education,10994,4378,15372,0.7151964610981004,M,Pass
33,2,RIVERSIDE,1995-11-07,"RIVERSIDE, OUTSIDE CITY LIMITS",Measure,P,CITY CHARTER MEASURE PERTAINING TO RIVERSIDE UNIFIED SCHOOL DISTRICT.  Shall the proposed deletion of Sections 1406 and 1407 of the Charter of the City of Riverside pertaining to the Riverside Unified School District be approved?,20.0,Charter Amendment,10.0,Education,515,236,751,0.6857523302263648,M,Pass
33,2,RIVERSIDE,1995-11-07,SAN JACINTO,Measure,I,Shall the office of City Clerk be appointive?,70.0,Ordinance,42.0,Governance: Personnel/Offices,1166,1067,2233,0.5221674876847291,M,Pass
33,2,RIVERSIDE,1995-11-07,SAN JACINTO,Measure,J,Shall the office of City Treasurer be appointive?,70.0,Ordinance,42.0,Governance: Personnel/Offices,1110,1116,2226,0.49865229110512127,M,Fail
33,2,RIVERSIDE,1995-03-07,TEMECULA,Measure,B,"Advisory Vote Only:  Shall the City consider approving the Old Town Entertainment Project, consisting of three theaters, a wild west arena, and related restaurant and entertainment facilities in the Old Town area, provided the following conditions are met: (1)  Approval of Environmental Impact Report on the Project; (2)  Adequate parking and traffic improvements; (3)  Consistency with the Old Town Specific Plan; (4)  Financing Plan will utilize only revenues generated by the Project and use no General Fund revenues to finance entertainment facilities?",30.0,Advisory,24.0,Land Use: Private Projects,4115,4066,8181,0.5029947439188364,M,Pass
36,2,SAN BERNARDINO,1995-11-07,CHINO,Measure,B,"Shall the General Plan of the City of Chino be amended to change the zoning on a 25 acre parcel of land - located north of Chino Avenue, west of Yorba Avenue and east of Ramona Avenue - from light industrial to single family detached residential?",70.0,Ordinance,22.0,Other,2873,1332,4205,0.6832342449464923,M,Pass
36,2,SAN BERNARDINO,1995-11-07,CHINO,Measure,C,"Shall the General Plan of the City of Chino be amended to change the zoning on a small number of parcels of land - located south of Riverside Drive, west of Ninth Street, east of Fourth Street and north of C street - from commercial to single family detached residential to be consistent with existing land uses?",70.0,Ordinance,22.0,Other,2738,1167,3905,0.7011523687580026,M,Pass
36,2,SAN BERNARDINO,1995-11-07,HESPERIA,Measure,D,"Shall card clubs in which any games permitted by law, such as draw poker, low-ball poker and panguingue (pan) are played be allowed in the City of Hesperia?",70.0,Ordinance,90.0,Other,1949,4430,6379,0.305533782724565,M,Fail
36,2,SAN BERNARDINO,1995-11-07,ONTARIO,Measure,E,Shall the position of City Clerk be appointive?,70.0,Ordinance,42.0,Governance: Personnel/Offices,2064,6644,8708,0.23702342673403767,M,Fail
36,2,SAN BERNARDINO,1995-11-07,ONTARIO,Measure,F,Shall the position of City Treasurer be appointive?,70.0,Ordinance,42.0,Governance: Personnel/Offices,1836,6846,8682,0.21147201105736005,M,Fail
36,2,SAN BERNARDINO,1995-11-07,ONTARIO,Measure,G,"Shall card clubs in which any games permitted by law such as draw poker, low-ball poker and panguingue (pan) are played be allowed in the City of Ontario?",70.0,Ordinance,90.0,Gambling,2021,7025,9046,0.22341366349767852,M,Fail
36,2,SAN BERNARDINO,1995-11-07,REDLANDS,Measure,H,"Shall the initiative ordinance amending the Redlands' General Plan and voter-approved initiative Measure ""N"" relative to growth management entitled ""The Redlands Growth Management Act of 1995"" be adopted?",40.0,Initiative,21.0,Land Use: Growth Cap,6218,6443,12661,0.49111444593633996,M,Fail
36,2,SAN BERNARDINO,1995-11-07,SAN BERNARDINO,Measure,I,"Approves a Charter amendment to allow the procedure for the sale of City real property to be set by ordinance, but such sale shall not be for less than fair market value.",20.0,Charter Amendment,70.0,Facilities,7251,3429,10680,0.678932584269663,M,Pass
41,2,SAN MATEO,1995-11-07,ATHERTON,Measure,L,"Shall an ordinance entitled “An Ordinance of the Town of Atherton Authorizing the Levy of a Special Tax for Municipal Services and Allowing the Expenditure of Funds Derived from Such Tax”, and numbered 487 be adopted?",1.0,Business Tax,40.0,Governance,1784,561,2345,0.7607675906183369,T,Pass
41,2,SAN MATEO,1995-11-07,FOSTER CITY,Measure,K,"ADVISORY VOTE ONLY.  Shall it be the policy of the City that no person shall be elected to the office of City Councilperson more than twice in succession and that a member of the City Council who has served seven (7) consecutive years or longer on the Council shall likewise be unqualified and ineligible for election to, or appointment to, such office for a period of two (2) years following the end of his or her last service?",30.0,Advisory,42.0,Governance: Personnel/Offices,2792,1717,4509,0.6192060323796851,A,Pass
41,2,SAN MATEO,1995-11-07,HALF MOON BAY,Measure,I,Shall Ordinance No. C-13-95 approving and adopting the Redevelopment Plan for the Half Moon Bay North Wavecrest Redevelopment Project be approved?,70.0,Ordinance,25.0,Land Use: Public Works,1113,2029,3142,0.3542329726288988,M,Fail
41,2,SAN MATEO,1995-11-07,SAN MATEO,Measure,J,Shall the San Mateo Municipal Code be amended to Authorize a Card Club Not to Exceed Fifty Tables at the Bay Meadows Racecourse subject to Special Permit Review by the City?,70.0,Ordinance,90.0,Gambling,7595,11900,19495,0.3895870736086176,M,Fail
42,2,SANTA BARBARA,1995-11-07,SANTA BARBARA,Measure,F,CHARTER AMENDMENT NO. 1.  Shall City Charter Section 1508 (“Measure E”) be amended to allow certain unused nonresidential development potential to be used for specific projects to promote economic development?,20.0,Charter Amendment,20.0,Land Use,9954,4973,14927,0.6668453138607892,M,Pass
43,2,SANTA CLARA,1995-11-07,GILROY,Measure,I,REFERENDUM ORDINANCE.  Shall Ordinance No. 95-08 adding Chapter 19C to the Gilroy City Code to provide for a storm and surface water management enterprise and utility be adopted?,40.0,Initiative,70.0,Facilities,630,3927,4557,0.1382488479262673,M,Fail
43,2,SANTA CLARA,1995-11-07,GILROY,Measure,J,"CHARTER AMENDMENT.  Shall the City Charter be amended to delete obsolete procedural references to the first City Charter election held in 1960, specifically deleting Section 104 (City officers and employees in the year 1960), Section 402 paragraphs 2 and 3 (initial terms of office for Mayor and Council members), Section 1005 (status of existing employees in the year 1960), Section 1403 (setting the date of the first election), and Section 1501 (holding the first Charter election)?",20.0,Charter Amendment,40.0,Governance,3200,974,4174,0.7666506947771922,M,Pass
43,2,SANTA CLARA,1995-11-07,GILROY,Measure,K,"CHARTER AMENDMENT.  Shall Section 202 of the City Charter be amended to allow the City to expand its power to contract with public or private agencies for municipal services for any function of the City, not just for administrative functions?",20.0,Charter Amendment,47.0,Governance: Contracting,2923,1331,4254,0.6871180065820405,M,Pass
43,2,SANTA CLARA,1995-11-07,GILROY,Measure,L,CHARTER AMENDMENT.  Shall the first paragraph of Section 402 of the City Charter be amended to change the date by which the City Council and Mayor's terms of office are measured from the first Tuesday following their election to the first regular meeting of the City Council following the certification of the election results by the duly authorized election official?,20.0,Charter Amendment,43.0,Governance: Organization,3254,947,4201,0.7745774815520114,M,Pass
43,2,SANTA CLARA,1995-11-07,GILROY,Measure,M,"CHARTER AMENDMENT.  Shall Section 403 of the City Charter be amended to delete references to a requirement that has been held to be unlawful by the courts of the State of California, specifically, the requirement that a person must be a resident of the City for at least two years before he or she can be nominated for or hold office on the City Council?",20.0,Charter Amendment,42.0,Governance: Personnel/Offices,2967,1292,4259,0.6966424043202629,M,Pass
43,2,SANTA CLARA,1995-11-07,GILROY,Measure,N,"CHARTER AMENDMENT.  Shall Section 908 of the City Charter be amended and Section 909 be added to the City Charter to divide the Library and Culture Commission into two separate commissions, namely the Library Commission and the Arts and Culture Commission, and to clarify and establish the duties of each commission?",20.0,Charter Amendment,43.0,Governance: Organization,2939,1294,4233,0.6943066383179778,M,Pass
43,2,SANTA CLARA,1995-11-07,GILROY,Measure,O,CHARTER AMENDMENT.  Shall Section 1106 of the City Charter be amended to limit the City Council to set any ad valorem property tax and tax rate only if not prohibited by State law?,20.0,Charter Amendment,,,2708,1448,4156,0.6515880654475458,M,Pass
43,2,SANTA CLARA,1995-11-07,PALO ALTO,Measure,R,"Shall an ordinance be adopted amending the Palo Alto Comprehensive Plan Land Use Element to limit nonresidential growth and to preclude the City Council from making specified changes without voter approval until December 31, 2015.",70.0,Ordinance,21.0,Land Use: Growth Cap,4557,10816,15373,0.29642880374682884,M,Fail
43,2,SANTA CLARA,1995-11-07,SUNNYVALE,Measure,A,"CHARTER AMENDMENT.  Shall Charter Sections 302, 304, and 1003 containing outdated material be deleted in their entirety and Charter Sections 303, 1007, 1013 and 1015 be amended to delete outdated materials?",20.0,Charter Amendment,40.0,Governance,11056,1369,12425,0.8898189134808853,M,Pass
43,2,SANTA CLARA,1995-11-07,SUNNYVALE,Measure,B,"CHARTER AMENDMENT.  Shall Charter Sections 601 and 602 be amended to delete outdated material, to clarify when election results are certified and to transfer qualification for office language from Section 601 to Section 602?",20.0,Charter Amendment,40.0,Governance,10717,1460,12177,0.8801018313213436,M,Pass
43,2,SANTA CLARA,1995-11-07,SUNNYVALE,Measure,C,"CHARTER AMENDMENT.  Shall Charter Sections 605 and 606 be amended to delete outdated material, to clarify when the selection of mayor and vice mayor shall occur and to change the method of appointment and removal of the mayor in Section 605 from a resolution process to a motion process?",20.0,Charter Amendment,42.0,Governance: Personnel/Offices,10012,2250,12262,0.8165062795628771,M,Pass
43,2,SANTA CLARA,1995-11-07,SUNNYVALE,Measure,D,CHARTER AMENDMENT.  Shall Charter Section 605 be amended to change the mayoral term from two years to one year?,20.0,Charter Amendment,42.0,Governance: Personnel/Offices,8294,4239,12533,0.6617729194925397,M,Pass
43,2,SANTA CLARA,1995-11-07,SUNNYVALE,Measure,E,"CHARTER AMENDMENT.  Shall Charter Sections 609 and 700 be amended to streamline public notice, resolution and ordinance procedures and bring them into conformance with State law?",20.0,Charter Amendment,40.0,Governance,10120,1632,11752,0.8611300204220558,M,Pass
43,2,SANTA CLARA,1995-11-07,SUNNYVALE,Measure,F,"CHARTER AMENDMENT.  Shall Charter Sections 900, 901 and 908 be amended to provide for employment contracts for the City Manager and City Attorney, to eliminate the ordinance requirement for departmental reorganization and to transfer the responsibility for legal business from the City Council to the City Attorney?",20.0,Charter Amendment,42.0,Governance: Personnel/Offices,9311,2881,12192,0.7636975065616798,M,Pass
43,2,SANTA CLARA,1995-11-07,SUNNYVALE,Measure,G,"CHARTER AMENDMENT.  Shall Charter Section 1000 be amended to specify which boards and commissions are established by charter and to authorize the creation of additional boards and commissions by resolution as well as by ordinance, and shall Charter Section 1002 be amended to include only the subjects of board and commission appointments and qualifications, with the provisions concerning term lengths transferred to a new Section 1003?",20.0,Charter Amendment,43.0,Governance: Organization,9400,2638,12038,0.7808606080744309,M,Pass
43,2,SANTA CLARA,1995-11-07,SUNNYVALE,Measure,H,CHARTER AMENDMENT.  Shall Carter Sections 1600 and 1601 be amended to clarify procedures related to the processing of franchises?,20.0,Charter Amendment,43.0,Governance: Organization,10433,1686,12119,0.8608796105289215,M,Pass
48,2,SOLANO,1995-11-07,SUISUN CITY,Measure,E,"Shall a card club in which any games permitted by law, such as draw poker, low-ball poker and panguingue (pan), are played be allowed by the city of Suisun City to be established on an entertainment boat docked at the Suisun City Marina? ",70.0,Ordinance,90.0,Gambling,1910,1906,3816,0.500524109014675,M,Pass
50,2,STANISLAUS,1995-11-07,MODESTO,Measure,G,"CHARTER AMENDMENT.  Shall the Modesto City Charter be amended to provide that a vacancy on the Council shall exist if any member, including the Mayor, is absent for any reason from twelve consecutive regular meetings; and at any time prior to the twelfth such consecutive absence, the Council, in its discretion, may increase the number of absences causing a vacancy from twelve to sixteen?",20.0,Charter Amendment,42.0,Governance: Personnel/Offices,15653,4087,19740,0.7929584599797366,M,Pass
54,2,TULARE,1995-11-07,WOODLAKE,Measure,N,REDEVELOPMENT PLAN REFERENDUM.  Shall the Woodlake Ordinance #500 Approving and Adopting the Redevelopment Plan for the Woodlake Redevelopment Project be adopted?,40.0,Initiative,25.0,Land Use: Public Works,224,99,323,0.6934984520123839,M,Pass
56,2,VENTURA,1995-11-07,OJAI,Measure,O,Shall the ordinance proposing a library special tax to provide library services be adopted?,3.0,Property Tax,71.0,Facilities: Libraries,1015,592,1607,0.6316116988176727,T,Fail
56,2,VENTURA,1995-11-07,SAN BUENAVENTURA,Measure,H,"AN ORDINANCE ADDING DIVISION 9 TO THE SAN BUENAVENTURA ORDINANCE CODE TO REQUIRE LIMITATIONS ON CITY COUNCIL ELECTION CAMPAIGN CONTRIBUTION AS WELL AS VOLUNTARY LIMITATIONS ON CITY COUNCIL ELECTION EXPENDITURES.  Shall the ordinance submitted for vote of the people by the City Council of the City of San Buenaventura for (a) mandatory limitations on City Council election campaign contributions, and, (b) voluntary limitations of City Council election campaign expenditures, be adopted?",70.0,Ordinance,45.0,Governance Political ,15815,3803,19618,0.8061474156386992,M,Pass
56,2,VENTURA,1995-11-07,SAN BUENAVENTURA,Measure,I,"INITIATIVE TO REQUIRE VOTER APPROVAL, THROUGH THE YEAR 2030, OF CHANGES TO PROVISIONS OF THE CITY OF SAN BUENAVENTURA COMPREHENSIVE PLAN PERTAINING TO AGRICULTURAL/OPEN SPACE POLICIES AND LAND USE DESIGNATIONS.  Shall the ordinance proposed by initiative be adopted which requires voter approval through the year 2030 for changes to provisions of the City of San Buenaventura Comprehensive Plan pertaining to (a) Agriculture/Open Space policies, and (b) land use designations?",40.0,Initiative,23.0,Land Use: Open Space,10604,9728,20332,0.5215423962227032,M,Pass
56,2,VENTURA,1995-11-07,SAN BUENAVENTURA,Measure,J,"AN INITIATIVE CONCERNING AGRICULTURAL OR PARK RELATED USE ZONES (“A” ZONES) OF LANDS WITHIN THE CITY OF SAN BUENAVENTURA OR ITS SPHERE OF INFLUENCE AND THE ANNEXATION OF GREENBELT AGREEMENT PROPERTY INTO THAT CITY.  Shall the ordinance proposed by initiative to (a) impose or retain or cause a reversion to the “A” Zone (agriculture or park related use) for certain lands within the City of San Buenaventura or within that City's sphere of influence that are designated Agricultural Use (not to be reconsidered until after the year 2010), and (b) which prevents annexation to the City of San Buenaventura of certain Greenbelt Agreement property, be adopted?",40.0,Initiative,22.0,Land Use: Zoning,9665,10515,20180,0.4789395441030723,M,Fail
56,2,VENTURA,1995-11-07,SAN BUENAVENTURA,Measure,K,CHARTER AMENDMENT.  PROPOSED ADOPTION OF REVISED SECTION OF CHARTER. Shall Section 1301 of the Charter be amended to read as follows: “The Council may lease its tideland property for public recreational purposes for a term not exceeding that allowed by state law.  The Council may lease such property for any other purpose and for such term as it deems reasonable if the proposed lease provisions are approved by a majority vote of the electors thereon.”,20.0,Charter Amendment,51.0,Environment: Parks/Recreation,10475,8501,18976,0.5520130691399663,M,Pass
56,2,VENTURA,1995-11-07,SAN BUENAVENTURA,Measure,L,"AN INITIATIVE MEASURE TO AUTHORIZE PASSAGE OF AN ORDINANCE THAT WOULD IMPOSE A PARCEL TAX IN THE INITIAL AMOUNT OF THIRTY-FIVE DOLLARS ($35.00) TO SUPPORT THE FUNDING OF PUBLIC LIBRARIES WITHIN THE CITY OF SAN BUENAVENTURA.  Shall the ordinance proposing a parcel tax on each parcel of land within the City of San Buenaventura to support the funding of public libraries within the City of San Buenaventura, the initial levy being in the amount of  thirty-five dollars ($35.00) per parcel per year with the levy thereafter being indexed annually to the Consumer Price Index (with a 6% annual cap) be adopted?",3.0,Property Tax,71.0,Facilities: Libraries,11091,9744,20835,0.5323254139668826,T,Fail
57,2,YOLO,1995-05-09,DAVIS,Measure,R,"WILDHORSE DEVELOPMENT AGREEMENT.  Shall Ordinance No. 1773, an ordinance adopting a development agreement by and between the City of Davis and Duffel Financial and Construction Company, et al., for the development of property known as Wildhorse, generally northeast of Covell Boulevard and Pole Line Road, be adopted?",70.0,Ordinance,24.0,Land Use: Private Projects,6175,4313,10488,0.5887681159420289,M,Pass
1,3,ALAMEDA,1995-11-07,Emery Unified School District,Measure,B,"BOND MEASURE.  To provide needed health and safety improvements, to provide classroom access to technology and computers, to renovate, modernize, construct, acquire or replace school facilities, to improve school grounds, finance sewer and drainage projects for school property, and provide for long term capital improvements district-wide, shall the Emery Unified School District be authorized to issue bonds in the amount of $8,070,000, to bear interest at rates not to exceed the legal limit?",11.0,GO Bond,,Education: Bonds,424,167,591,0.7174280879864636,T,Pass
3,3,AMADOR,1995-11-07,Amador County Unified School District,Measure,N,"BOND MEASURE.  Shall Amador County Unified School District incur a bonded indebtedness of $30,000,000 with an interest rate not to exceed the statutory limit, to raise money for the following purposes (which purposes are hereby united and shall be voted upon as one single proposition), as follows: (a) permanent repairs, alterations and additions to existing facilities; (b) the construction of purchasing of buildings; (c) the permanent improvement of grounds; and (d) the acquisition of real property?",11.0,GO Bond,,Education: Bonds,1063,691,1754,0.6060433295324972,T,Fail
4,3,BUTTE,1995-03-07,Chico Unified School District,Measure,N,"Shall the Chico Unified School District issue bonds in an amount not to exceed $40,000,000, at an interest rate within the legal limit, to renovate and construct school facilities?",11.0,GO Bond,,Education: Bonds,9682,5520,15202,0.6368898829101434,T,Fail
4,3,BUTTE,1995-11-07,Chico Unified School District,Measure,A,"BOND MEASURE.  Shall the Chico Unified School District issue bonds in an amount not to exceed $32,000,000.00 with an interest rate not to exceed the statutory limit, to acquire land and to construct new high school facilities and to construct new and renovate existing facilities on the Pleasant Valley High School Campus?",11.0,GO Bond,,Education: Bonds,11630,6795,18425,0.6312075983717774,T,Fail
5,3,CALAVERAS,1995-11-07,Vallecito Union Elementary School District,Measure,A,"BOND MEASURE.  To maintain a quality education for our students, shall the Vallecito Union School District issue $7.9 million of bonds, at an interest rate within the legal limits, as follows:  $1 million to be used equally between Albert Michelson School ($500 thousand) and Hazel Fischer School ($500 thousand) to repair and/or replace the 22-year-old unreliable heating, ventilation and safety systems, and $6.9 million to refinance the debt against Avery Middle School?",11.0,GO Bond,,Education: Bonds,2070,1192,3262,0.6345800122624157,T,Fail
5,3,CALAVERAS,1995-11-07,Calaveras Unified School District,Measure,B,"BOND MEASURE.  Shall the Calaveras Unified School District incur a bonded indebtedness of not to exceed $22,300,000 with an interest rate not to exceed the maximum rate allowable by law, to be used for the construction, expansion and modernization of classroom and school facilities?",11.0,GO Bond,,Education: Bonds,2093,1656,3749,0.558282208588957,T,Fail
6,3,COLUSA,1995-11-07,Pierce Joint Unified School District,Measure,S,"Shall the Pierce Joint Unified School District incur a bonded indebtedness of not to exceed $3,000,000 with an interest rate not to exceed the maximum rate allowable by law, to be used for the construction of classroom and school facilities at Johnson Junior High School, including, without limitation, the acquisition and construction of permanent classrooms, science classrooms, facilities to replace deteriorating portable classrooms that cannot be repaired and improvements to provide students with access to computer and other modern technology?",11.0,GO Bond,,Education: Bonds,497,374,871,0.5706084959816303,T,Fail
7,3,CONTRA COSTA,1995-03-07,Orinda Union Elementary School District,Measure,A,"Shall the Orinda Union School District issue bonds for the purposes of constructing school facilities and improving school facilities and sites to accommodate increased enrollment and relieve overcrowding, to address curriculum needs, and to replace obsolete facilities, including the renovation and construction of classrooms, libraries, science labs, restrooms, and multipurpose rooms at various school sites including Wagner Ranch School, and improvement of handicapped access, in the total amount of $16 million, to bear interest at a rate not to exceed the statutory maximum?",11.0,GO Bond,,Education: Bonds,4939,1232,6171,0.8003565062388592,T,Pass
