CO,JUR,CNTYNAME,DATE,PLACE,OFFICE,AREA,TERM,LASTNAME,FIRSTNAME,BALDESIG,INCUMB,CAND#,VOTES,TOTVOTES,PERCENT,ELECTED
33,2,RIVERSIDE,1995-11-07,INDIO,CITY COUNCIL,,Full,Hunt,Tom,Retired Bank Manager,Yes,5,1143,5286,0.216,No
33,2,RIVERSIDE,1995-11-07,INDIO,CITY COUNCIL,,Full,Cauhape,Chris,Floorcovering Contractor,No,5,417,5286,0.079,No
33,2,RIVERSIDE,1995-11-07,INDIO,CITY TREASURER,,Full,Thompson,Evelyn G.,Incumbent,Yes,1,2385,2385,1.0,Yes
33,2,RIVERSIDE,1995-11-07,LA QUINTA,CITY COUNCIL,,Full,Adolph,Don,Engineering Consultant,No,9,804,5153,0.156,Yes
33,2,RIVERSIDE,1995-11-07,LA QUINTA,CITY COUNCIL,,Full,Sniff,Stanley,Council Member/Businessman,Yes,9,785,5153,0.152,Yes
33,2,RIVERSIDE,1995-11-07,LA QUINTA,CITY COUNCIL,,Full,Henderson,Terry B.,Retired Business Owner,No,9,746,5153,0.145,No
33,2,RIVERSIDE,1995-11-07,LA QUINTA,CITY COUNCIL,,Full,Ingram,Carl,Engineering Technician,No,9,648,5153,0.126,No
33,2,RIVERSIDE,1995-11-07,LA QUINTA,CITY COUNCIL,,Full,Wilson,Jack M.,Retired Dentist,No,9,570,5153,0.111,No
33,2,RIVERSIDE,1995-11-07,LA QUINTA,CITY COUNCIL,,Full,Moran,Lucia,Businesswoman/Owner,No,9,467,5153,0.091,No
33,2,RIVERSIDE,1995-11-07,LA QUINTA,CITY COUNCIL,,Full,Devin,Andrew,Attorney,No,9,460,5153,0.089,No
33,2,RIVERSIDE,1995-11-07,LA QUINTA,CITY COUNCIL,,Full,Tyler,Robert,Consultant,No,9,436,5153,0.085,No
33,2,RIVERSIDE,1995-11-07,LA QUINTA,CITY COUNCIL,,Full,Seaton,Betty Jo (B.J.),Executive Secretary,No,9,237,5153,0.046,No
33,2,RIVERSIDE,1995-11-07,LA QUINTA,CITY MAYOR,,Full,Bangerter,Glenda,Councilmember/Businesswoman,No,2,1435,2769,0.518,Yes
33,2,RIVERSIDE,1995-11-07,LA QUINTA,CITY MAYOR,,Full,Pena,John J.,Mayor,Yes,2,1334,2769,0.482,No
33,2,RIVERSIDE,1995-11-07,LAKE ELSINORE,CITY COUNCIL,,Full,Kelley,Genie,Educator,No,12,1237,7854,0.157,Yes
33,2,RIVERSIDE,1995-11-07,LAKE ELSINORE,CITY COUNCIL,,Full,Brinley,"Pamela ""Pam""",Appointed Incumbent,Yes,12,986,7854,0.126,Yes
33,2,RIVERSIDE,1995-11-07,LAKE ELSINORE,CITY COUNCIL,,Full,Alongi,George G.,Semi-Retired Businessman,Yes,12,831,7854,0.106,Yes
33,2,RIVERSIDE,1995-11-07,LAKE ELSINORE,CITY COUNCIL,,Full,Metze,Daniel,Planning Commissioner,No,12,806,7854,0.103,No
33,2,RIVERSIDE,1995-11-07,LAKE ELSINORE,CITY COUNCIL,,Full,Schiffner,Bob,Retired Engineering Inspector,No,12,799,7854,0.102,No
33,2,RIVERSIDE,1995-11-07,LAKE ELSINORE,CITY COUNCIL,,Full,Buck,William S.,Retired Engineering Contractor,No,12,609,7854,0.078,No
33,2,RIVERSIDE,1995-11-07,LAKE ELSINORE,CITY COUNCIL,,Full,Matson,John,Commercial Property Consultant,No,12,590,7854,0.075,No
33,2,RIVERSIDE,1995-11-07,LAKE ELSINORE,CITY COUNCIL,,Full,Hyland,Chris (Christine),Independent Sales Representative,No,12,563,7854,0.072,No
33,2,RIVERSIDE,1995-11-07,LAKE ELSINORE,CITY COUNCIL,,Full,Schreiber,Christopher,Aerospace/Avionics Engineer,No,12,476,7854,0.061,No
33,2,RIVERSIDE,1995-11-07,LAKE ELSINORE,CITY COUNCIL,,Full,Holland,Hal,Retired Army Surveyor,No,12,417,7854,0.053,No
33,2,RIVERSIDE,1995-11-07,LAKE ELSINORE,CITY COUNCIL,,Full,Tucker,Bill,Grocery Clerk,No,12,281,7854,0.036,No
33,2,RIVERSIDE,1995-11-07,LAKE ELSINORE,CITY COUNCIL,,Full,Fauber,William J.,Corporate Quality Consultant,No,12,259,7854,0.033,No
33,2,RIVERSIDE,1995-11-07,LAKE ELSINORE,CITY TREASURER,,Full,Knapp,"Richard L. ""Dick",Investment Consultant/Accountant,No,3,1115,2509,0.444,Yes
33,2,RIVERSIDE,1995-11-07,LAKE ELSINORE,CITY TREASURER,,Full,Starkey,Bill,Businessman,No,3,1014,2509,0.404,No
33,2,RIVERSIDE,1995-11-07,LAKE ELSINORE,CITY TREASURER,,Full,Cartwright,Steven,No Ballot Designation,No,3,380,2509,0.151,No
33,2,RIVERSIDE,1995-11-07,MURIETTA,CITY COUNCIL,,Full,Enochs,Warnie,Electrical Contractor,No,14,1836,11754,0.156,Yes
33,2,RIVERSIDE,1995-11-07,MURIETTA,CITY COUNCIL,,Full,Washington,Charles (Chuck),Airline Pilot,No,14,1805,11754,0.154,Yes
33,2,RIVERSIDE,1995-11-07,MURIETTA,CITY COUNCIL,,Full,Rushton,Michael,Deputy District Attorney,No,14,1486,11754,0.126,No
33,2,RIVERSIDE,1995-11-07,MURIETTA,CITY COUNCIL,,Full,Bryant,Cheryl,Purchasing Manager,No,14,1410,11754,0.12,No
33,2,RIVERSIDE,1995-11-07,MURIETTA,CITY COUNCIL,,Full,Reece,Bryan,"Educator, Small Businessman",No,14,1256,11754,0.107,No
33,2,RIVERSIDE,1995-11-07,MURIETTA,CITY COUNCIL,,Full,Knight,Bill,Business Owner,No,14,910,11754,0.077,No
33,2,RIVERSIDE,1995-11-07,MURIETTA,CITY COUNCIL,,Full,Haas,Dave,General Contractor,No,14,804,11754,0.068,No
33,2,RIVERSIDE,1995-11-07,MURIETTA,CITY COUNCIL,,Full,"Hunneman, Jr.",John E.,Writer/Businessman,No,14,560,11754,0.048,No
33,2,RIVERSIDE,1995-11-07,MURIETTA,CITY COUNCIL,,Full,Weishaupl,Fred,Assembly Field Representative,No,14,443,11754,0.038,No
33,2,RIVERSIDE,1995-11-07,MURIETTA,CITY COUNCIL,,Full,Scherer,Roger M.,City Planner,No,14,329,11754,0.028,No
33,2,RIVERSIDE,1995-11-07,MURIETTA,CITY COUNCIL,,Full,Wolf,Christopher,Manufacturer's Sales Representative,No,14,305,11754,0.026,No
33,2,RIVERSIDE,1995-11-07,MURIETTA,CITY COUNCIL,,Full,Briggs,Linda,Housing Services Consultant,No,14,265,11754,0.023,No
33,2,RIVERSIDE,1995-11-07,MURIETTA,CITY COUNCIL,,Full,Comley,Garry T.,Alzheimer's Facilities Owner,No,14,195,11754,0.017,No
33,2,RIVERSIDE,1995-11-07,MURIETTA,CITY COUNCIL,,Full,Spriggs,Rod A.,"Businessman, Telecom Consultant",No,14,150,11754,0.013,No
33,2,RIVERSIDE,1995-11-07,NORCO,CITY COUNCIL,,Full,Koziel,Rob,Local Business Owner,No,12,1311,7789,0.168,Yes
33,2,RIVERSIDE,1995-11-07,NORCO,CITY COUNCIL,,Full,Sorensen,Chris,Mortgage Banker,No,12,1219,7789,0.157,Yes
33,2,RIVERSIDE,1995-11-07,NORCO,CITY COUNCIL,,Full,Carmichael,Barbara J.,Councilwoman/Homemaker,Yes,12,929,7789,0.119,Yes
33,2,RIVERSIDE,1995-11-07,NORCO,CITY COUNCIL,,Full,Seigler,Robert,Retired State Employee,No,12,874,7789,0.112,No
33,2,RIVERSIDE,1995-11-07,NORCO,CITY COUNCIL,,Full,Cusimano,Larry B.,Incumbent,Yes,12,800,7789,0.103,No
33,2,RIVERSIDE,1995-11-07,NORCO,CITY COUNCIL,,Full,Oliva,Lucile (Lou),Journalist,No,12,614,7789,0.079,No
33,2,RIVERSIDE,1995-11-07,NORCO,CITY COUNCIL,,Full,Casper,John Wayne,TV News Producer,No,12,549,7789,0.07,No
33,2,RIVERSIDE,1995-11-07,NORCO,CITY COUNCIL,,Full,Singleton,Tammy,Realtor,No,12,520,7789,0.067,No
33,2,RIVERSIDE,1995-11-07,NORCO,CITY COUNCIL,,Full,Brinton,Harry W.,Retired,No,12,428,7789,0.055,No
33,2,RIVERSIDE,1995-11-07,NORCO,CITY COUNCIL,,Full,Shepard,Rick,Electrical Engineer,No,12,242,7789,0.031,No
33,2,RIVERSIDE,1995-11-07,NORCO,CITY COUNCIL,,Full,Zwettler,Edward,Arborist,No,12,191,7789,0.025,No
33,2,RIVERSIDE,1995-11-07,NORCO,CITY COUNCIL,,Full,Doran,"Patrick ""Paddy""",Contractor,No,12,112,7789,0.014,No
33,2,RIVERSIDE,1995-11-07,PALM DESERT,CITY COUNCIL,,Full,Kelly,Dick,Incumbent,Yes,7,4023,16218,0.248,Yes
33,2,RIVERSIDE,1995-11-07,PALM DESERT,CITY COUNCIL,,Full,Crites,Buford Arthur,Councilman/College Professor,Yes,7,3712,16218,0.229,Yes
33,2,RIVERSIDE,1995-11-07,PALM DESERT,CITY COUNCIL,,Full,Spiegel,Bob,Appointed Incumbent,Yes,7,3036,16218,0.187,Yes
33,2,RIVERSIDE,1995-11-07,PALM DESERT,CITY COUNCIL,,Full,Gribow,Dale,Attorney at Law,No,7,1653,16218,0.102,No
33,2,RIVERSIDE,1995-11-07,PALM DESERT,CITY COUNCIL,,Full,Muro,Rick,Business Owner,No,7,1575,16218,0.097,No
33,2,RIVERSIDE,1995-11-07,PALM DESERT,CITY COUNCIL,,Full,Grotbeck,Larry,Businessman,No,7,1493,16218,0.092,No
33,2,RIVERSIDE,1995-11-07,PALM DESERT,CITY COUNCIL,,Full,Wall,Doug,Contractor,No,7,726,16218,0.045,No
33,2,RIVERSIDE,1995-11-07,PALM SPRINGS,CITY COUNCIL,,Full,Reller-Spurgin,Jeanne,Councilwoman/Registered Nurse,Yes,12,4938,19037,0.259,Yes
33,2,RIVERSIDE,1995-11-07,PALM SPRINGS,CITY COUNCIL,,Full,Barnes,"Stanley ""Stan""",General Engineering Contractor,No,12,2962,19037,0.156,Yes
33,2,RIVERSIDE,1995-11-07,PALM SPRINGS,CITY COUNCIL,,Full,Oden,"Ronald ""Ron""",College Professor,No,12,2484,19037,0.13,No
33,2,RIVERSIDE,1995-11-07,PALM SPRINGS,CITY COUNCIL,,Full,Lee,"Robert ""Bob""",Hotel/Restaurant Owner,No,12,2481,19037,0.13,No
33,2,RIVERSIDE,1995-11-07,PALM SPRINGS,CITY COUNCIL,,Full,O'Linn,Richard J.,Businessman,No,12,1354,19037,0.071,No
33,2,RIVERSIDE,1995-11-07,PALM SPRINGS,CITY COUNCIL,,Full,Johnson,Michael L.,Businessman,No,12,1062,19037,0.056,No
33,2,RIVERSIDE,1995-11-07,PALM SPRINGS,CITY COUNCIL,,Full,Grasha,Steve,Businessowner,No,12,1016,19037,0.053,No
33,2,RIVERSIDE,1995-11-07,PALM SPRINGS,CITY COUNCIL,,Full,Meeks,Eric G.,Collector,No,12,964,19037,0.051,No
33,2,RIVERSIDE,1995-11-07,PALM SPRINGS,CITY COUNCIL,,Full,Hubbard,"Charles ""Chuck""",Medical-Legal Administrator,No,12,618,19037,0.032,No
33,2,RIVERSIDE,1995-11-07,PALM SPRINGS,CITY COUNCIL,,Full,De La Torre,Jonathan,Hospitality-Marketing-Promotions,No,12,503,19037,0.026,No
33,2,RIVERSIDE,1995-11-07,PALM SPRINGS,CITY COUNCIL,,Full,Drury,William E.,Retired,No,12,460,19037,0.024,No
33,2,RIVERSIDE,1995-11-07,PALM SPRINGS,CITY COUNCIL,,Full,Johnson,"Curtis ""Curt""",Administrator,No,12,195,19037,0.01,No
33,2,RIVERSIDE,1995-11-07,PALM SPRINGS,CITY MAYOR,,Full,Kleindienst,"William ""Will""",Architect/City Councilmember,Yes,9,4824,10231,0.472,Yes
33,2,RIVERSIDE,1995-11-07,PALM SPRINGS,CITY MAYOR,,Full,Hodges,Deyna L.,Councilwoman/Businesswoman,No,9,3044,10231,0.298,No
33,2,RIVERSIDE,1995-11-07,PALM SPRINGS,CITY MAYOR,,Full,Harrison,Richard,Retired,No,9,867,10231,0.085,No
33,2,RIVERSIDE,1995-11-07,PALM SPRINGS,CITY MAYOR,,Full,Schlendorf,Joy,Business/Government Consultant,No,9,458,10231,0.045,No
33,2,RIVERSIDE,1995-11-07,PALM SPRINGS,CITY MAYOR,,Full,Chipman-Bang,Cole 'Kitty Cole,Retired Modeling Agent,No,9,300,10231,0.029,No
33,2,RIVERSIDE,1995-11-07,PALM SPRINGS,CITY MAYOR,,Full,Margolis,George Henry,Veterans Hospital Administrator,No,9,264,10231,0.026,No
33,2,RIVERSIDE,1995-11-07,PALM SPRINGS,CITY MAYOR,,Full,Ebeling,Frederick M.,Retired,No,9,233,10231,0.023,No
33,2,RIVERSIDE,1995-11-07,PALM SPRINGS,CITY MAYOR,,Full,Gathers,Leslie Howard,"Entrepreneur, Administrator, Development",No,9,128,10231,0.013,No
33,2,RIVERSIDE,1995-11-07,PALM SPRINGS,CITY MAYOR,,Full,Levy,Jonathan,Estate Planner,No,9,113,10231,0.011,No
33,2,RIVERSIDE,1995-11-07,PERRIS,CITY COUNCIL,,Full,Torres,"Ascencion ""Sam""",Incumbent/Plumber,Yes,9,789,4352,0.181,Yes
33,2,RIVERSIDE,1995-11-07,PERRIS,CITY COUNCIL,,Full,Landers,"Alfred ""Al""",Businessman,No,9,759,4352,0.174,Yes
33,2,RIVERSIDE,1995-11-07,PERRIS,CITY COUNCIL,,Full,Yarbrough,Raul Mark,Businessman,No,9,686,4352,0.158,No
33,2,RIVERSIDE,1995-11-07,PERRIS,CITY COUNCIL,,Full,Fletcher,"Robert ""Bob""",Incumbent,Yes,9,559,4352,0.128,No
33,2,RIVERSIDE,1995-11-07,PERRIS,CITY COUNCIL,,Full,Jack,Richard W.,Transit Agency Employee,No,9,425,4352,0.098,No
33,2,RIVERSIDE,1995-11-07,PERRIS,CITY COUNCIL,,Full,Scott,"Pamela ""Pam""",Antiques/Collectible Supervisor,No,9,397,4352,0.091,No
33,2,RIVERSIDE,1995-11-07,PERRIS,CITY COUNCIL,,Full,Martindale,Patricia,School Superintendent Secretary,No,9,381,4352,0.088,No
33,2,RIVERSIDE,1995-11-07,PERRIS,CITY COUNCIL,,Full,Sabel,Steven,Business Owner,No,9,187,4352,0.043,No
33,2,RIVERSIDE,1995-11-07,PERRIS,CITY COUNCIL,,Full,Preston,William G.,Chemist,No,9,169,4352,0.039,No
33,2,RIVERSIDE,1995-11-07,RIVERSIDE,CITY COUNCIL,1.0,Full,Beaty,Chuck,Incumbent,Yes,1,1765,1765,1.0,Yes
33,2,RIVERSIDE,1995-11-07,RIVERSIDE,CITY COUNCIL,3.0,Full,Defenbaugh,Joy,Incumbent,Yes,1,2079,2079,1.0,Yes
33,2,RIVERSIDE,1995-11-07,RIVERSIDE,CITY COUNCIL,5.0,Full,Clifford,Alex,City Councilman/Realtor,Yes,2,2332,2953,0.79,Yes
33,2,RIVERSIDE,1995-11-07,RIVERSIDE,CITY COUNCIL,5.0,Full,Williams,Herbert,Attorney,No,2,621,2953,0.21,No
33,2,RIVERSIDE,1995-11-07,RIVERSIDE,CITY COUNCIL,7.0,Full,Frizzel,Teresa R. (Terry),Businesswoman,No,3,1039,2561,0.406,Yes
33,2,RIVERSIDE,1995-11-07,RIVERSIDE,CITY COUNCIL,7.0,Full,Pearson,Laura,Homemaker/Councilmember,Yes,3,1022,2561,0.399,No
33,2,RIVERSIDE,1995-11-07,RIVERSIDE,CITY COUNCIL,7.0,Full,Stokoe,Phil,School Trustee/Teacher,No,3,500,2561,0.195,No
33,2,RIVERSIDE,1995-11-07,SAN JACINTO,CITY COUNCIL,,Full,Conner,Jim,Business Owner,No,7,1494,6401,0.233,Yes
33,2,RIVERSIDE,1995-11-07,SAN JACINTO,CITY COUNCIL,,Full,Cornett,Debbie,Accountant,No,7,1029,6401,0.161,Yes
33,2,RIVERSIDE,1995-11-07,SAN JACINTO,CITY COUNCIL,,Full,Smedley,Jim,Retired Sales Executive,No,7,1010,6401,0.158,Yes
33,2,RIVERSIDE,1995-11-07,SAN JACINTO,CITY COUNCIL,,Full,Ayers,Jim,Civil Service Employee,No,7,910,6401,0.142,No
33,2,RIVERSIDE,1995-11-07,SAN JACINTO,CITY COUNCIL,,Full,Brewer,Richard E.,Computer Consultant,No,7,868,6401,0.136,No
33,2,RIVERSIDE,1995-11-07,SAN JACINTO,CITY COUNCIL,,Full,Dunlap,Tim,Retired Fire Captain,No,7,781,6401,0.122,No
33,2,RIVERSIDE,1995-11-07,SAN JACINTO,CITY COUNCIL,,Full,Roberts,John,Architectural Manager,No,7,309,6401,0.048,No
36,2,SAN BERNARDINO,1995-11-07,REDLANDS,CITY CLERK,,Full,Poyzer,Lorrie,City Clerk,Yes,2,8250,10737,0.768,Yes
36,2,SAN BERNARDINO,1995-11-07,REDLANDS,CITY CLERK,,Full,Webster,Lewis D.,No Ballot Designation,No,2,2487,10737,0.232,No
36,2,SAN BERNARDINO,1995-11-07,REDLANDS,CITY COUNCIL,,Full,Cunningham,William E.,Incumbent,Yes,7,6106,23274,0.262,Yes
36,2,SAN BERNARDINO,1995-11-07,REDLANDS,CITY COUNCIL,,Full,Banda,Geni A. S.,"Volunteer, Concerned Citizen",No,7,5033,23274,0.216,Yes
36,2,SAN BERNARDINO,1995-11-07,REDLANDS,CITY COUNCIL,,Full,Alexander,Ray,Realtor,No,7,4238,23274,0.182,No
36,2,SAN BERNARDINO,1995-11-07,REDLANDS,CITY COUNCIL,,Full,Harrison,Jon,Information Systems Consultant,No,7,4020,23274,0.173,No
36,2,SAN BERNARDINO,1995-11-07,REDLANDS,CITY COUNCIL,,Full,Larick,Kyle W.,Computer Company Executive,No,7,2004,23274,0.086,No
36,2,SAN BERNARDINO,1995-11-07,REDLANDS,CITY COUNCIL,,Full,Sabatini,Jeffrey N.,Small Businessman,No,7,1020,23274,0.044,No
36,2,SAN BERNARDINO,1995-11-07,REDLANDS,CITY COUNCIL,,Full,Thompson,Roger Everett,Grocery Warehouseman,No,7,853,23274,0.037,No
36,2,SAN BERNARDINO,1995-11-07,REDLANDS,CITY TREASURER,,Full,Reynolds,Michael,City Treasurer,Yes,1,9206,9206,1.0,Yes
36,2,SAN BERNARDINO,1995-11-07,SAN BERNARDINO,CITY COUNCIL,3.0,Full,Arias,Rita C.,Business Owner,No,2,975,1576,0.619,Yes
36,2,SAN BERNARDINO,1995-11-07,SAN BERNARDINO,CITY COUNCIL,3.0,Full,Hernandez,Ralph R.,Councilman Third Ward,Yes,2,601,1576,0.381,No
36,2,SAN BERNARDINO,1995-11-07,SAN BERNARDINO,CITY COUNCIL,5.0,Full,Devlin,Jerry M.,Councilman Fifth Ward,Yes,2,1715,2273,0.755,Yes
36,2,SAN BERNARDINO,1995-11-07,SAN BERNARDINO,CITY COUNCIL,5.0,Full,Erwin,James H.,Deputy Sheriff,No,2,558,2273,0.245,No
36,2,SAN BERNARDINO,1995-11-07,SAN BERNARDINO,CITY COUNCIL,6.0,Full,Anderson,Betty Dean,Retired Educator,No,3,1169,2312,0.506,Yes
36,2,SAN BERNARDINO,1995-11-07,SAN BERNARDINO,CITY COUNCIL,6.0,Full,Pope-Ludlum,Valerie,Councilwoman Sixth Ward,Yes,3,1001,2312,0.433,No
36,2,SAN BERNARDINO,1995-11-07,SAN BERNARDINO,CITY COUNCIL,6.0,Full,Cumming,Stewart D.,Teacher,No,3,142,2312,0.061,No
36,2,SAN BERNARDINO,1995-11-07,SAN BERNARDINO,CITY COUNCIL,7.0,Full,Miller,Norine,Incumbent,Yes,1,2217,2217,1.0,Yes
36,2,SAN BERNARDINO,1995-11-07,SAN BERNARDINO,CITY ATTORNEY,,Full,Penman,James F.,San Bernardino City Attorney,Yes,2,9305,12777,0.728,Yes
36,2,SAN BERNARDINO,1995-11-07,SAN BERNARDINO,CITY ATTORNEY,,Full,Tomlinson,"Max S. ""Stan""",Lawyer,No,2,3472,12777,0.272,No
36,2,SAN BERNARDINO,1995-11-07,SAN BERNARDINO,CITY CLERK,,Full,Clark,Rachel Mendoza,City Clerk,Yes,1,9522,9522,1.0,Yes
36,2,SAN BERNARDINO,1995-11-07,SAN BERNARDINO,CITY TREASURER,,Full,Kennedy,David C.,City Treasurer,Yes,1,9095,9104,0.999,Yes
36,2,SAN BERNARDINO,1995-11-07,SAN BERNARDINO,CITY TREASURER,,Full,Kirley,John,Write-In Candidate,No,1,9,9104,0.001,No
36,2,SAN BERNARDINO,1995-06-06,YUCAIPA,CITY COUNCIL,,Full,Riddell,Dick,Retired District Engineer,No,5,3814,5970,0.639,Yes
36,2,SAN BERNARDINO,1995-06-06,YUCAIPA,CITY COUNCIL,,Full,Allen,Laqueta,Businesswoman,No,5,1493,5970,0.25,No
36,2,SAN BERNARDINO,1995-06-06,YUCAIPA,CITY COUNCIL,,Full,Clay,Larry,Peace Officer,No,5,428,5970,0.072,No
36,2,SAN BERNARDINO,1995-06-06,YUCAIPA,CITY COUNCIL,,Full,Glessner,Robert K.,No Ballot Designation,No,5,193,5970,0.032,No
36,2,SAN BERNARDINO,1995-06-06,YUCAIPA,CITY COUNCIL,,Full,Munoz,Viola Deleon,No Ballot Designation,No,5,42,5970,0.007,No
37,2,SAN DIEGO,1995-09-19,SAN DIEGO,CITY COUNCIL,2.0,Full,Wear,Byron,Small Businessman/Community Leader,No,4,5925,14478,0.409,Yes
37,2,SAN DIEGO,1995-09-19,SAN DIEGO,CITY COUNCIL,2.0,Full,Seymour,John,"Businessman, Planning Board President",No,4,3677,14478,0.254,No
37,2,SAN DIEGO,1995-09-19,SAN DIEGO,CITY COUNCIL,2.0,Full,Flynn,Pat,Attorney/Community Leader,No,4,2818,14478,0.195,No
37,2,SAN DIEGO,1995-09-19,SAN DIEGO,CITY COUNCIL,2.0,Full,McLaughlin,Mike,Community Business Owner,No,4,2058,14478,0.142,No
37,2,SAN DIEGO,1995-09-19,SAN DIEGO,CITY COUNCIL,4.0,Full,Stevens,George,City Councilmember Fourth District,Yes,3,7273,11904,0.611,Yes
37,2,SAN DIEGO,1995-09-19,SAN DIEGO,CITY COUNCIL,4.0,Full,Weber,Shirley N.,Educator,No,3,4216,11904,0.354,No
37,2,SAN DIEGO,1995-09-19,SAN DIEGO,CITY COUNCIL,4.0,Full,Daniels,Ellington,Resident Apartment Manager,No,3,415,11904,0.035,No
37,2,SAN DIEGO,1995-09-19,SAN DIEGO,CITY COUNCIL,6.0,Full,Stallings,Valerie,City Council Member,Yes,4,9624,18297,0.526,Yes
37,2,SAN DIEGO,1995-09-19,SAN DIEGO,CITY COUNCIL,6.0,Full,Pallamary,Mike,Business Owner/Community Leader,No,4,7114,18297,0.389,No
37,2,SAN DIEGO,1995-09-19,SAN DIEGO,CITY COUNCIL,6.0,Full,Rich,Rolla R.,Publisher/Teacher/Paralegal,No,4,899,18297,0.049,No
37,2,SAN DIEGO,1995-09-19,SAN DIEGO,CITY COUNCIL,6.0,Full,Hendrix,Marvin Douglas,Attorney/Community Activist,No,4,660,18297,0.036,No
37,2,SAN DIEGO,1995-09-19,SAN DIEGO,CITY COUNCIL,8.0,Full,Vargas,Juan,Deputy Mayor,No,1,2596,2596,1.0,Yes
37,2,SAN DIEGO,1995-11-07,SAN DIEGO,CITY COUNCIL,2.0,Full,Wear,Byron,Small Businessman/Community Leader,No,2,8642,15385,0.562,Yes
41,2,SAN MATEO,1995-11-07,BELMONT,CITY CLERK,,Full,Kern,Kathy,Appointed Incumbent,Yes,1,2687,2720,0.988,Yes
41,2,SAN MATEO,1995-11-07,BELMONT,CITY COUNCIL,,Full,Santina,Adele Della,Mayor/Incumbent,Yes,1,2366,4058,0.583,Yes
41,2,SAN MATEO,1995-11-07,BELMONT,CITY COUNCIL,,Full,Seierbach,Coralin,Write-In Candidate,No,1,1365,4058,0.336,Yes
41,2,SAN MATEO,1995-11-07,BELMONT,CITY TREASURER,,Full,"Mason, Jr.",Howard E.,Certified Public Accountant,No,2,1554,3096,0.502,Yes
41,2,SAN MATEO,1995-11-07,BELMONT,CITY TREASURER,,Full,Blake,Robert,Deputy City Treasurer,No,2,1526,3096,0.493,No
41,2,SAN MATEO,1995-11-07,BRISBANE,CITY COUNCIL,,Full,Bologoff,Cyril G.,Planning Commissioner,No,4,571,1473,0.388,Yes
41,2,SAN MATEO,1995-11-07,BRISBANE,CITY COUNCIL,,Full,Richardson,A. Sepi,School Consultant,No,4,398,1473,0.27,Yes
41,2,SAN MATEO,1995-11-07,BRISBANE,CITY COUNCIL,,Full,Jennings,Dean,Instrument Technician,No,4,276,1473,0.187,No
41,2,SAN MATEO,1995-11-07,BRISBANE,CITY COUNCIL,,Full,Ladow,Louie,Taxi Driver,No,4,213,1473,0.145,No
41,2,SAN MATEO,1995-11-07,FOSTER CITY,CITY COUNCIL,,Full,Lawrence,Jim,Business Executive,No,10,2148,12752,0.168,Yes
41,2,SAN MATEO,1995-11-07,FOSTER CITY,CITY COUNCIL,,Full,Larsen,Eileen,Writer/Editor,No,10,2083,12752,0.163,Yes
41,2,SAN MATEO,1995-11-07,FOSTER CITY,CITY COUNCIL,,Full,Harter,Russ,Engineer,No,10,1793,12752,0.141,Yes
41,2,SAN MATEO,1995-11-07,FOSTER CITY,CITY COUNCIL,,Full,Bramlett,Owen,City Councilman/Businessman,Yes,10,1524,12752,0.12,No
41,2,SAN MATEO,1995-11-07,FOSTER CITY,CITY COUNCIL,,Full,Orloff,Susan,"Administrator, State Bar",No,10,1518,12752,0.119,No
41,2,SAN MATEO,1995-11-07,FOSTER CITY,CITY COUNCIL,,Full,Grant,Jon B.,Retired Dentist,No,10,1310,12752,0.103,No
41,2,SAN MATEO,1995-11-07,FOSTER CITY,CITY COUNCIL,,Full,Simm,Clarke,Businessman,No,10,847,12752,0.066,No
41,2,SAN MATEO,1995-11-07,FOSTER CITY,CITY COUNCIL,,Full,Davis,Marie H.,Political Scientist/Musician,No,10,645,12752,0.051,No
41,2,SAN MATEO,1995-11-07,FOSTER CITY,CITY COUNCIL,,Full,Sazegari,Steve,Economist/Businessman/Consultant,No,10,551,12752,0.043,No
41,2,SAN MATEO,1995-11-07,FOSTER CITY,CITY COUNCIL,,Full,Rabic,S. Michael,Community Advocate,No,10,324,12752,0.025,No
41,2,SAN MATEO,1995-11-07,HALF MOON BAY,CITY COUNCIL,,Full,Ruddock,Deborah,Incumbent,Yes,4,1840,5990,0.307,Yes
41,2,SAN MATEO,1995-11-07,HALF MOON BAY,CITY COUNCIL,,Full,Coleman,Dennis R. B.,"Marketing Consultant, Columnist",No,4,1691,5990,0.282,Yes
41,2,SAN MATEO,1995-11-07,HALF MOON BAY,CITY COUNCIL,,Full,Schiller,Philip,Product Marketing Director,No,4,1229,5990,0.205,No
41,2,SAN MATEO,1995-11-07,HALF MOON BAY,CITY COUNCIL,,Full,Stoehr,Ed,Businessman,No,4,1226,5990,0.205,No
41,2,SAN MATEO,1995-11-07,MILLBRAE,CITY COUNCIL,,Full,Church,Mark,Business Owner/Attorney,No,4,3489,11051,0.316,Yes
41,2,SAN MATEO,1995-11-07,MILLBRAE,CITY COUNCIL,,Full,Andrews,Ernest A.,Certified Financial Planner,No,4,2887,11051,0.261,Yes
41,2,SAN MATEO,1995-11-07,MILLBRAE,CITY COUNCIL,,Full,Morse,Doris,Councilwoman,Yes,4,2433,11051,0.22,Yes
41,2,SAN MATEO,1995-11-07,MILLBRAE,CITY COUNCIL,,Full,Hagerty,Thomas W. (Tom),Engineering Manager,No,4,2227,11051,0.202,No
41,2,SAN MATEO,1995-11-07,REDWOOD CITY,CITY COUNCIL,,Full,Ruskin,Ira,Businessman,No,12,4200,29550,0.142,Yes
